Player_ID,Player_Name,K/D_Ratio,Avg_Damage,Survival_Time,Tier,Games_Played,Win_Rate (%),Headshot_Rate (%),Assists,Drills,Opinions,Timestamp,Date,Promotion_Ready,Season,Tier_Stage,Tier_Points
d100ea11-34b8-46cf-9cc0-5ac4ba2798e8,Player_86e4016f,0.6,59.5,9.69,Bronze,134.0,1.25,17.72,9.0,"2v2 TDM, Training Map",Work on kill consistency. Improve damage output. Survive longer in matches.,,,0,S2025_3,1.0,18.0
c9135cfc-e41b-4aae-8e55-399ccb3835c1,Player_b246c6b1,0.95,117.6,6.87,Bronze,255.0,4.13,10.13,13.0,"Cheer Park, 2v2 TDM",Work on kill consistency. Survive longer in matches. Aim for more headshots.,,,0,S2025_3,1.0,58.0
3901fafd-76b7-4171-8b11-e93328455bd3,Player_c6c3d36d,1.37,121.3,8.07,Bronze,67.0,3.84,17.58,11.0,"Cheer Park, Training Map",Work on kill consistency. Survive longer in matches.,,,0,S2025_3,5.0,9.0
bbfddef9-b51a-42aa-b379-0cedfc013b28,Player_af81d0b2,0.91,143.5,9.48,Bronze,454.0,1.71,12.63,5.0,"2v2 TDM, Cheer Park",Work on kill consistency. Survive longer in matches. Aim for more headshots.,,,0,S2025_3,5.0,53.0
6fdd33fc-df72-46e5-9b81-84e5172d0859,Player_409c601a,0.72,59.5,10.61,Bronze,351.0,4.31,11.82,2.0,"Cheer Park, 2v2 TDM",Work on kill consistency. Improve damage output. Aim for more headshots.,,,0,S2025_3,5.0,68.0
99ccaff3-a487-4fb0-96e6-46f18ecc2cfe,Player_f6923ac5,0.77,118.9,8.18,Bronze,76.0,1.81,11.53,7.0,"Cheer Park, Training Map",Work on kill consistency. Survive longer in matches. Aim for more headshots.,,,0,S2025_3,1.0,33.0
70e76b1d-1e99-4d22-9659-dee12157e030,Player_9fa9c076,0.73,55.8,11.9,Bronze,191.0,4.18,11.31,3.0,"2v2 TDM, Training Map",Work on kill consistency. Improve damage output. Aim for more headshots.,,,0,S2025_3,2.0,63.0
219a2877-28cd-4b3e-a31e-c69cd0af7a17,Player_251011e4,0.91,125.1,9.35,Bronze,414.0,2.1,16.38,2.0,"2v2 TDM, Cheer Park",Work on kill consistency. Survive longer in matches.,,,0,S2025_3,2.0,57.0
665dffcb-5603-4133-82c5-14146f0c78cf,Player_820c1309,0.76,133.1,11.73,Bronze,235.0,2.32,15.29,14.0,"Cheer Park, Training Map",Work on kill consistency.,,,0,S2025_3,4.0,7.0
af545f82-7e73-4a8f-bcc2-025f187b3fdd,Player_d0f15883,1.42,57.5,5.18,Bronze,364.0,2.84,15.2,10.0,"Cheer Park, Training Map",Work on kill consistency. Improve damage output. Survive longer in matches.,,,0,S2025_3,4.0,68.0
